,boycott_uid_set,like_boycotters_uid_set
0240,512;1410;3330;2180;4357;5638;2566;4743;5256;3978;4613;266;3470;4622;6032;4756;1947;3356;926;5664;4514;4387;5034;4778;3245;4144;1457;1207;4283;1471;447;1985;5442;70;1481;2633;1611;1865;329;2635;4177;4947;1876;1109;3161;1625;5211;740;2533;5477;2279;3430;4858;494;1521;1524;4725;5751;890;127,
0241,1667;5123;3846;1287;3208;4233;4745;4109;4878;4497;1939;2323;4631;5399;5143;1434;4894;5026;1699;164;5541;3750;5030;4392;2851;5162;814;687;3890;3259;1984;4040;3018;5710;5231;3921;3795;2261;1750;92;2396;5980;1888;4322;358;3942;2793;5870;5358;1136;5489;1390;4338;2676;5103;5750;1399;376;2937;4734,
0242,2945;3971;773;4871;395;396;14;1911;5136;5522;3347;4630;666;5790;3358;2974;3617;2594;4129;4771;166;552;1833;1963;5554;3507;3382;186;2108;3773;575;447;576;1986;4803;2371;2377;969;713;3402;3276;1226;2255;1106;5339;1500;4189;5344;4577;2530;3300;612;3174;5993;1263;5104;4599;121;3579;2172,
0243,772;3972;134;3590;4873;5002;267;5004;2185;400;5776;5010;5906;6034;1813;5909;665;5405;1309;164;805;676;4391;679;49;2737;2995;308;4019;1079;1336;1465;1468;5183;2753;5320;4808;2125;5968;4565;2773;4183;4570;1501;1633;2658;1635;1124;1252;5604;2788;4840;3056;1138;243;5493;4982;5622;1918;6015,
0244,3200;4097;5762;5760;773;2310;2698;3725;3470;4862;3214;3472;4114;5654;5911;3606;282;2074;1150;4635;5409;3234;2981;2597;167;1916;2092;3629;2478;429;2998;1207;695;696;4154;700;4031;3776;4290;5830;5704;3019;2509;2000;5462;4312;1755;2654;1119;2786;2148;1892;484;1255;3818;1004;5616;753;4092;3838,
0245,4996;516;1800;4361;1161;780;3980;5903;2320;3221;150;918;665;796;1310;5407;1952;3230;4006;3623;4393;2345;556;3634;435;2357;5177;5563;2108;3646;5060;2764;3920;2384;3665;4690;4435;469;3544;5849;2778;3162;732;3548;1885;2780;1633;3939;1125;1512;2408;2027;748;1133;500;507;121;3194;2043;254,
0246,2049;4997;3206;3974;1158;5769;2058;5131;141;2830;5520;273;5653;1944;665;5402;5787;4762;4894;1954;4390;426;2220;305;5682;5810;2484;2741;4145;4407;3380;2233;4284;5181;2237;5055;4800;2498;323;4548;1222;331;2125;3918;1743;974;5971;5587;3801;4442;4195;5733;3303;615;5612;112;2803;1267;2557;3582,
0247,386;1159;5512;137;6026;4363;2317;5645;1041;4883;2196;917;5911;5016;26;1565;2591;161;1572;3109;2982;3366;5294;3887;2224;3122;5887;1075;5174;695;3894;5689;4026;2490;702;68;3909;1861;3399;1095;1355;2815;1752;4442;2139;5594;1889;609;737;614;5478;3178;877;1264;2165;2806;3066;763;894;2431,
0248,5632;4870;137;4109;144;5648;1042;4626;1040;3349;3606;2972;1443;420;4773;678;3878;4265;5674;1966;177;2427;1716;2101;3261;829;959;4802;3140;74;2255;5328;3666;2644;4821;3670;856;2392;1884;2269;4958;3422;864;4065;2016;3043;99;1634;2918;5863;3455;2671;3951;2161;628;1140;5238;4601;1403;2175,
0249,4097;4482;3972;4487;1163;3467;4749;1934;5004;785;4753;2707;1559;667;288;4900;1829;3112;4266;4525;1966;3637;4789;439;5433;2747;1724;1088;3905;1600;3397;2632;4685;2511;4178;850;596;4948;978;3031;216;1879;5849;4443;3039;5215;4065;354;101;2406;3303;4206;5746;3839;3447;5240;1401;5373;3326;383,
